"zip_code","longitude","latitude","population","median_age","percent_male","percent_female","total_households","avg_household_size"
90063,-118.1854,34.044,55758,29,49.935435273862,50.064564726138,13260,4.19
90064,-118.4222,34.0387,25403,40,48.4076683856237,51.5923316143763,10968,2.29
90065,-118.2234,34.1089,45527,36.1,50.2405166165133,49.7594833834867,14476,3.12
90066,-118.4338,34.005,55277,37.3,50.1365848363696,49.8634151636304,23985,2.29
90067,-118.4148,34.0571,2424,65.3,44.3069306930693,55.6930693069307,1510,1.61
90068,-118.3287,34.1235,22286,39.4,53.926231714978,46.073768285022,12326,1.8
90069,-118.38154,34.09401,20483,41.5,59.3321290826539,40.6678709173461,13364,1.53
90071,-118.2549,34.053,15,45.5,86.6666666666667,13.3333333333333,0,0
90073,-118.4521,34.0523,539,56.9,93.8775510204082,6.12244897959184,4,1.25
90077,-118.4572,34.1015,9377,47.9,48.9922149941346,51.0077850058654,3615,2.57
90089,-118.2892,34.022,3217,19.3,44.6378613615169,55.3621386384831,31,1.94
90094,-118.4178,33.9745,5464,33.7,46.8338213762811,53.1661786237189,2949,1.85
90201,-118.1766,33.9667,101279,27.8,50.0182663730882,49.9817336269118,24104,4.16
90210,-118.41505,34.10251,21741,47.5,47.3391288349202,52.6608711650798,8669,2.49
90211,-118.3842,34.0661,8434,40.6,45.6367085605881,54.3632914394119,3706,2.28
90212,-118.4017,34.0617,11555,41.2,45.0973604500216,54.9026395499784,5567,2.08
90220,-118.2351,33.8804,49328,29.8,48.1937236457995,51.8062763542005,12741,3.85
90221,-118.2,33.8891,53704,26.7,49.0577983018025,50.9422016981975,11630,4.57
90222,-118.2351,33.9111,31869,27.3,48.2443754118422,51.7556245881578,7520,4.21
90230,-118.3988,33.9933,31766,39.1,47.0062330793931,52.9937669206069,12883,2.45
90232,-118.39,34.0237,15149,38.6,48.4058353686712,51.5941646313288,6605,2.28
90240,-118.121,33.9574,25876,35.5,48.3111763796568,51.6888236203432,7632,3.36
90241,-118.1298,33.9373,42399,33.9,48.2700063680747,51.7299936319253,13617,3.09
90242,-118.14167,33.92216,43497,31.6,48.7550865576936,51.2449134423064,12687,3.41
90245,-118.4046,33.915,16654,39.2,49.8618950402306,50.1381049597694,7085,2.34
90247,-118.2936,33.8863,47487,35.5,48.8912755069809,51.1087244930191,15830,2.96
90248,-118.2936,33.8658,9947,41.2,48.4869809992963,51.5130190007037,3427,2.89
90249,-118.317,33.901,26669,37.2,48.3595185421276,51.6404814578724,8880,2.98
90250,-118.34996,33.91383,93193,31.9,48.4081422424431,51.5918577575569,31087,2.98
90254,-118.3988,33.8601,19506,37,52.665846406234,47.334153593766,9550,2.04
90255,-118.2234,33.9756,75066,29.1,49.989342711747,50.010657288253,18419,4.06
